address,amount
0x00a8CfaF24a7A4c227a483bEF47f028d3459ea12,120000
0x01e863C402F2E901BA264c3B0b2D6b8606eff2BA,120000
0x035032655b5B3784D359b56eb82C803BD971C582,120000
0x077252b5e95D00Fb04539969Bc2A3D1623794017,120000
0x0833434f16aFD5a510c2d83026170713bE8d3d14,120000
0x0Ac1dbAcf21388485cd35a0230fbede82FfF5870,120000
0x18c7803E82254Ef8a6f8A3a2ddEe64b8a37c30C6,120000
0x1Aba693FBD9A8d24508EA9ab99A0Bf074eACa1ee,120000
0x2134c372427ff2328C3d44901F537b3aD2cf6118,120000
0x2632f1d2bC03F31D869b868B875a091F35247EFb,120000
0x263B6bB78F0Fb37D1536e1A34ba100dC19fA9607,120000
0x2CB8636240693B445ac98F2091b58A898e35e60B,120000
0x2b9D9449531424DF4dA57f500C9F43dB840b26F0,120000
0x37756810898A3389c4973a3dC8e8EB991c55EB62,120000
0x37E5f6da4E89D9f0Cd67a4acFaa87713BCBd9F21,120000
0x393280035F825641B72d26235250732C792aCb2E,120000
0x3E5c9CEd70887166612CED5B537fb294dcECb357,120000
0x3f7dF9eA1322F7F9780b56d285cCE0720262c2e4,120000
0x425FF99731b684484Bf4321fCcE9d1f3718B70A2,120000
0x4542F699390b2ca749e1Fe32c649B3371f513553,120000
0x4CbcDEFEccD99dB8F1D185E626042CB25fE8F1ff,120000
0x4CdE8F2D472182f21D28D71967EE4F3609843a07,120000
0x548CA6A07D7a1237cc55629906e5935BBfbE1D26,120000
0x5612515aCDb8F83338DD87ddcCd583B35F8cCFCf,120000
0x5E4BC1ba2836b0b43662977cA165E9eb7f1810F5,120000
0x5F561EB8B4380886BD3Bbdc87FB4c28C0353B71a,120000
0x6a55C5441d0FBAB3E14365f498E96d91ea1C69B2,120000
0x6b1405486205EF27ce10241006D544Db76E792fc,120000
0x7463799e9DA7A2755bF980C9B312633047d2B8f4,120000
0x75FCb957D5B2c8106D2181022C521876799dbB89,120000
0x79dd8c46c2C5f6A2B95D9cB8B78274008D2534Fa,120000
0x7B7645109C323A60aBE3361a8DF023148cEa1225,120000
0x7C3cf25108a28Bf70dBC52aD2A125f8f64cad90C,120000
0x7E1459ca51F6A2a6b684333f5969542e75d184C7,120000
0x80F5c29AcafCbfE453a2c331d3C34b7486F7960e,120000
0x82b886FC3aA8B5b7D46da6D51FFa20a9500aa0a4,120000
0x8a2198711de295c8C17CC8FdC4837FEEdE83C496,120000
0x8b104344F397aFC33Ee55C743a0FbD7d956201cD,120000
0x93A1017659f0ca747B63460475C9A6C326E47B3D,120000
0x953E9e00342dd8aB762350C70a6076DbE4Aa7054,120000
0x99Fa48ccEa8a38CDE6B437450fF9bBdDAFAA4Fc8,120000
0x9E47F64B3105F6702B051B776B1Bad1F6842f88B,120000
0x9F9B32E0dE4A17E9eCF944b42894F46EC6C007bb,120000
0x9a22A348CB3d4Be207Aec0d45267671cd68Ae2f9,120000
0x9b0408051aBe8dE28327DD522266652Cd76Fa2A1,120000
0xA43Ef9385cbCbfF237f606382b22760F4EaC77d0,120000
0xA479050576ad284901cf64a805245a1A1b391a03,120000
0xC192c8FdA71406357105a4095C13c4cc6BcA845C,120000
0xC1dC3707119bCc2649166b9Feb107C491386809F,120000
0xC2dA230A4514d022FdF120C390FDca0BE782AAA1,120000
0xC341e0fD548298dE89b38fe31F2AC63457105451,120000
0xC45Fc13F506014655Bb53d60ddC0a4C56DFD2DAc,120000
0xC70F954Fa5575DcA91Ab87F9e3950b7c014eD1eC,120000
0xD808AD8E5F357784bb1968BDD3a10F67A7D392f0,120000
0xE2766A568Ab9B7448d2E4c7D02f8ADa7A4E7934f,120000
0xE541337fF4C09042f3e1913294B02B07fa7617dC,120000
0xE95a917dd5112da32D6a153829Ee68dc739aeE05,120000
0xEB590B1BbDdb4116fbcCBd006979Fb95BF34F0E0,120000
0xEb56B3A0474462Cc501D94100719B07159430B16,120000
0xF12C809Ec5c82AC5864D485296201e2084e3013B,120000
0xaCf4C2950107eF9b1C37faA1F9a866C8F0da88b9,120000
0xb037938b0e61db212d1A1A99d9c01B55d0ecf5F9,120000
0xb7E353F959d5fB735B5FdbD2E4334B4d8e85fBdA,120000
0xc3ED6fBc2F0eD7Cf0daDbAe2Ff19e29aC229c7B5,120000
0xc78641b4D6412b0f920Fb1f5E2Fb6c38BcE6c7A7,120000
0xc9e82A1ABe5B77984797e2d205DEa848721d2835,120000
0xd61daEBC28274d1feaAf51F11179cd264e4105fB,120000
0xf43563ddcB45383Ce77892A719126109c647a635,120000
0xD98A1655CC97651192a983D9692A86B54cE9b14a,120000
